transaction_id,amount,transaction_date,account_id,merchant_id,fraud
1,1873.326054117965,2024-01-01,146,530,1
2,4753.620817743171,2024-01-02,111,546,1
3,3660.237715115214,2024-01-03,161,554,1
4,2993.693762500986,2024-01-04,179,579,0
5,780.9371835717402,2024-01-05,187,561,0
6,780.816607160677,2024-01-06,182,529,1
7,291.3599772288291,2024-01-07,107,554,1
8,4331.0145527289005,2024-01-08,194,515,1
9,3005.973943704301,2024-01-09,120,511,1
10,3540.6548164024316,2024-01-10,180,516,1
11,103.90188698471643,2024-01-11,186,515,0
12,4849.57935095781,2024-01-12,179,511,0
13,4162.380761361308,2024-01-13,169,507,0
14,1062.4832142807024,2024-01-14,171,583,0
15,909.943011068296,2024-01-15,124,502,1
16,917.8391447573157,2024-01-16,181,515,0
17,1521.906972554729,2024-01-17,188,529,1
18,2624.257401729557,2024-01-18,111,522,1
19,2160.293148191937,2024-01-19,114,591,1
20,1456.8544718500116,2024-01-20,158,504,0
21,3059.652620717175,2024-01-21,125,583,1
22,698.3298093995571,2024-01-22,125,564,0
23,1461.4310980275557,2024-01-23,146,529,0
24,1832.4428546251647,2024-01-24,131,520,1
25,2280.893851100963,2024-01-25,109,583,1
26,3926.094631003675,2024-01-26,115,569,1
27,999.1692370096404,2024-01-27,170,521,0
28,2571.6579576296444,2024-01-28,116,581,1
29,2962.4804297413502,2024-01-29,122,571,0
30,233.20561318726863,2024-01-30,125,531,1
31,3038.1167146552903,2024-01-31,184,532,1
32,853.4500943127704,2024-02-01,185,515,0
33,326.1929133334123,2024-02-02,106,575,0
34,4744.478800729413,2024-02-03,113,537,0
35,4828.1945333397225,2024-02-04,178,597,0
36,4042.178343234189,2024-02-05,106,513,0
37,1523.76423209768,2024-02-06,108,535,0
38,489.262897917913,2024-02-07,147,596,1
39,3421.4808995342723,2024-02-08,171,522,1
40,2201.322316204267,2024-02-09,158,565,0
41,611.0691359890493,2024-02-10,186,584,1
42,2476.3893736462396,2024-02-11,192,501,0
43,172.90821705497677,2024-02-12,181,590,1
44,4546.692689991832,2024-02-13,194,572,1
45,1294.6411280184846,2024-02-14,193,564,0
46,3312.948899485556,2024-02-15,138,574,0
47,1559.2436693709653,2024-02-16,198,566,0
48,2600.820037867876,2024-02-17,117,551,1
49,2734.004686437055,2024-02-18,158,561,0
50,925.0874231721097,2024-02-19,116,522,1
51,4847.953554195028,2024-02-20,113,525,0
52,3875.888983982212,2024-02-21,130,567,1
53,4697.555208879381,2024-02-22,123,581,1
54,4474.241924787816,2024-02-23,198,554,0
55,2989.9019940766148,2024-02-24,159,505,1
56,4609.449300880561,2024-02-25,144,534,1
57,443.3740177575456,2024-02-26,197,521,0
58,980.7183292333068,2024-02-27,102,542,1
59,227.09121726377978,2024-02-28,136,514,0
60,1627.3263234855585,2024-02-29,142,585,0
61,1943.9977711577205,2024-03-01,139,559,0
62,1357.4738098377056,2024-03-02,189,511,0
63,4143.858808250495,2024-03-03,154,548,1
64,1784.4098801412529,2024-03-04,186,541,1
65,1405.3916139272164,2024-03-05,138,537,1
66,2713.937719708084,2024-03-06,114,581,0
67,705.4802006488385,2024-03-07,103,544,1
68,4011.182706789444,2024-03-08,192,534,1
69,373.67866775517433,2024-03-09,185,529,0
70,4934.447796065986,2024-03-10,124,587,0
71,3861.4516017139904,2024-03-11,112,529,1
72,994.3796919893279,2024-03-12,181,577,0
73,28.60506350088839,2024-03-13,132,505,0
74,4077.491680845716,2024-03-14,115,566,0
75,3534.579861894238,2024-03-15,141,579,0
